ticker_byma,nombre_empresa,puntaje_financiero,n_metricas,pe,ev_ebitda,roe,deuda_ebitda,crecimiento_ingresos
PATH,UIPATH INC,53.81,5,20.83,32.29,0.2,0.43,0.13
LVS,Las Vegas Sands Corp,53.67,5,16.6,8.62,1.23,3.29,-0.01
ALAB,Astera Labs Inc,53.54,5,142.75,172.79,0.26,0.16,1.04
SAN,Banco Santander S.A,53.49,3,14.25,,0.13,,0.1
ASML,ASML HOLDING NV,53.21,5,57.47,2686.33,0.54,0.15,0.21
T,At &T Inc.,52.98,5,8.6,7.67,0.18,3.69,0.02
BP,BP PCL,52.96,5,22.06,13.53,0.09,1.85,0.48
GRMN,Garmin Ltd.,52.69,5,29.14,22.53,0.22,0.1,0.11
FMX,Fomento Economico Mexicano - Femsa,52.4,5,22.58,2.51,0.15,2.45,0.09
TJX,TJX Companies Inc/The,52.22,5,23.29,16.5,0.62,1.61,0.05
ERIC,Lm Ericsson Telephone Co.,52.12,3,13.39,,0.26,,-0.06
UNP,Union Pacific Corp.,51.97,5,23.05,15.37,0.4,2.42,0.12
SNA,Snap-On Inc,51.93,5,19.16,13.5,0.18,0.93,0.04
RIOT,Riot Platforms,51.84,3,,-9.41,-0.48,,0.14
ORCL,Oracle Corporation,51.83,5,23.52,16.5,0.41,4.56,0.3
GLOB,Globant S.A.,51.83,5,14.75,5.18,0.05,1.32,0.0
VRTX,VERTEX PHARMACEUTICALS INC,51.66,5,30.04,24.46,0.24,0.39,0.12
TM,Toyota Motor Corporation,51.48,5,8.67,6.3,0.12,7.85,0.1
KEP,Korea Electric Power Corp.,51.48,5,2.68,5.17,0.17,5.36,-0.0
HD,The Home Depot Inc.,51.03,5,21.61,14.98,1.04,2.56,0.06
JOYY,JOYY Inc.,50.97,5,18.31,15.48,-0.25,0.43,0.16
JMIA,Adr Jumia Technologies Ag,50.95,3,,-16.6,-2.16,,0.14
COST,Costco Wholesale Corp,50.87,5,45.47,28.98,0.29,0.74,0.22
AMGN,Amgen Inc.,50.62,5,23.42,14.32,0.91,3.32,0.1
ABNB,Airbnb Inc,50.49,5,38.33,32.88,0.35,0.9,0.16
TXN,Texas Instruments Inc,50.47,5,40.84,26.52,0.35,1.48,0.23
FDX,Fedex Corp,50.32,5,16.81,8.71,0.15,3.63,0.12
PG,Procter & Gamble,50.15,5,21.94,14.7,0.3,1.42,0.02
SUZ,Suzano Papel E Celulose S.A.,49.97,5,7.26,4.27,0.18,5.01,-0.13
GE,General Electric Co.,49.74,5,38.17,30.16,0.48,1.76,0.21
BAK,Braskem SA,49.61,3,,7.51,,8.18,0.22
CL,Colgate Palmolive Co,49.51,5,34.17,15.24,2.67,1.58,0.05
HSY,The Hershey Company,49.24,5,23.71,14.68,0.33,2.18,0.07
HAL,Halliburton Co.,49.22,5,18.76,8.71,0.15,1.98,0.04
BKNG,Booking,48.93,4,19.3,12.91,,2.01,0.08
QCOM,Qualcomm Inc.,48.85,5,20.8,16.51,0.34,1.27,-0.04
HAPV3,Hapvida Participacoes E Investimentos S.A.,48.76,4,,4.31,-0.0,6.12,0.41
AZN,Astrazeneca Plc,48.71,5,23.98,13.86,0.22,1.63,0.06
SYY,Sysco Corp.,48.56,5,22.73,11.82,0.78,3.35,0.05
CAT,Caterpillar Inc,48.36,5,35.21,25.57,0.57,2.78,0.24
